datetime,id,att_rating,def_rating,overall_rating
2023-09-02 14:00:00,80,1426.049652707826,1496.8723305070832,2922.9219832149092
2023-09-02 14:00:00,249,1078.2689580749134,1126.487933158289,2204.7568912332026
2023-09-02 16:30:00,220,1917.8453009204177,1459.2340564715769,3377.0793573919946
2023-09-02 16:30:00,86,1841.7313555804099,1833.0570712559304,3674.7884268363405
2023-09-03 13:00:00,78,1169.7441600947548,1552.1505327753778,2721.8946928701325
2023-09-03 13:00:00,229,1085.340215141927,1167.4347710673474,2252.774986209274
2023-09-03 13:00:00,87,1927.7675634984464,1442.2178751724082,3369.985438670855
2023-09-03 13:00:00,71,1366.2442551091344,1396.3952325664447,2762.6394876755794
2023-09-03 15:30:00,83,1813.4163418422486,1733.465102418857,3546.8814442611056
2023-09-03 15:30:00,89,1773.6306220140202,1501.424014355847,3275.0546363698672
